City/Town,Leading Candidate,Brook Paige (R),Sarah Copeland Hanzas (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Brook Paige (R) Percent Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,OverVotes Percent
Plymouth,PAMALA SMITH,12345,12345,21,23,27,24761,49.86%,49.86%,0.11%
Plymouth,PAMALA SMITH,12345,12345,21,23,27,24761,49.86%,49.86%,0.11%
Pomfret,PAMALA SMITH,12345,12345,24,19,14,24747,49.88%,49.88%,0.06%
Pomfret,PAMALA SMITH,12345,12345,24,19,14,24747,49.88%,49.88%,0.06%
Poultney,PAMALA SMITH,12345,12345,37061,29,26,61806,19.97%,19.97%,0.04%
Poultney,PAMALA SMITH,12345,12345,37061,29,26,61806,19.97%,19.97%,0.04%
Pownal,PAMALA SMITH,12345,12345,18,25,22,24755,49.87%,49.87%,0.09%
Pownal,PAMALA SMITH,12345,12345,18,25,22,24755,49.87%,49.87%,0.09%
Proctor,PAMALA SMITH,12345,12345,26,8,11,24735,49.91%,49.91%,0.04%
Proctor,PAMALA SMITH,12345,12345,26,8,11,24735,49.91%,49.91%,0.04%
Putney,PAMALA SMITH,12345,12345,12360,32,24,37106,33.27%,33.27%,0.06%
Putney,PAMALA SMITH,12345,12345,12360,32,24,37106,33.27%,33.27%,0.06%
Randolph,PAMALA SMITH,12345,12345,23,15,19,24747,49.88%,49.88%,0.08%
Randolph,PAMALA SMITH,12345,12345,23,15,19,24747,49.88%,49.88%,0.08%
Reading,PAMALA SMITH,12345,12345,12375,27,33,37125,33.25%,33.25%,0.09%
Reading,PAMALA SMITH,12345,12345,12375,27,33,37125,33.25%,33.25%,0.09%
Readsboro,PAMALA SMITH,12345,12345,16,14,26,24746,49.89%,49.89%,0.11%
Readsboro,PAMALA SMITH,12345,12345,16,14,26,24746,49.89%,49.89%,0.11%
Richford,PAMALA SMITH,12345,12345,37073,32,26,61821,19.97%,19.97%,0.04%
Richford,PAMALA SMITH,12345,12345,37073,32,26,61821,19.97%,19.97%,0.04%
Richmond,PAMALA SMITH,12345,12345,12376,19,18,37103,33.27%,33.27%,0.05%
Richmond,PAMALA SMITH,12345,12345,12376,19,18,37103,33.27%,33.27%,0.05%
Ripton,PAMALA SMITH,12345,12345,5,18,25,24738,49.90%,49.90%,0.10%
Ripton,PAMALA SMITH,12345,12345,5,18,25,24738,49.90%,49.90%,0.10%
Rochester,PAMALA SMITH,12345,12345,12365,22,29,37106,33.27%,33.27%,0.08%
Rochester,PAMALA SMITH,12345,12345,12365,22,29,37106,33.27%,33.27%,0.08%
Rockingham,PAMALA SMITH,12345,12345,25,18,20,24753,49.87%,49.87%,0.08%
Rockingham,PAMALA SMITH,12345,12345,25,18,20,24753,49.87%,49.87%,0.08%
Roxbury,PAMALA SMITH,12345,12345,16,24,20,24750,49.88%,49.88%,0.08%
Roxbury,PAMALA SMITH,12345,12345,16,24,20,24750,49.88%,49.88%,0.08%
Royalton,PAMALA SMITH,12345,12345,24716,27,15,49448,24.97%,24.97%,0.03%
Royalton,PAMALA SMITH,12345,12345,24716,27,15,49448,24.97%,24.97%,0.03%
Rupert,PAMALA SMITH,12345,12345,31,25,21,24767,49.84%,49.84%,0.08%
Rupert,PAMALA SMITH,12345,12345,31,25,21,24767,49.84%,49.84%,0.08%
Rutland City,PAMALA SMITH,49380,49380,49460,100,86,148406,33.27%,33.27%,0.06%
Rutland City,PAMALA SMITH,49380,49380,49460,100,86,148406,33.27%,33.27%,0.06%
Rutland,PAMALA SMITH,12345,12345,24714,18,39,49461,24.96%,24.96%,0.08%
Rutland,PAMALA SMITH,12345,12345,24714,18,39,49461,24.96%,24.96%,0.08%
Ryegate,PAMALA SMITH,12345,12345,23,16,20,24749,49.88%,49.88%,0.08%
Ryegate,PAMALA SMITH,12345,12345,23,16,20,24749,49.88%,49.88%,0.08%
St. Albans City,PAMALA SMITH,12345,12345,61788,41,41,86560,14.26%,14.26%,0.05%
St. Albans City,PAMALA SMITH,12345,12345,61788,41,41,86560,14.26%,14.26%,0.05%
St. Albans Town,PAMALA SMITH,24690,24690,37070,52,41,86543,28.53%,28.53%,0.05%
St. Albans Town,PAMALA SMITH,24690,24690,37070,52,41,86543,28.53%,28.53%,0.05%
St. George,PAMALA SMITH,12345,12345,24,22,22,24758,49.86%,49.86%,0.09%
St. George,PAMALA SMITH,12345,12345,24,22,22,24758,49.86%,49.86%,0.09%
St. Johnsbury,PAMALA SMITH,12345,12345,12378,30,16,37114,33.26%,33.26%,0.04%
St. Johnsbury,PAMALA SMITH,12345,12345,12378,30,16,37114,33.26%,33.26%,0.04%
Salisbury,PAMALA SMITH,12345,12345,25,23,21,24759,49.86%,49.86%,0.08%
Salisbury,PAMALA SMITH,12345,12345,25,23,21,24759,49.86%,49.86%,0.08%
Sandgate,PAMALA SMITH,12345,12345,18,21,15,24744,49.89%,49.89%,0.06%
Sandgate,PAMALA SMITH,12345,12345,18,21,15,24744,49.89%,49.89%,0.06%
Searsburg,PAMALA SMITH,12345,12345,16,28,20,24754,49.87%,49.87%,0.08%
Searsburg,PAMALA SMITH,12345,12345,16,28,20,24754,49.87%,49.87%,0.08%
Shaftsbury,PAMALA SMITH,12345,12345,24715,14,26,49445,24.97%,24.97%,0.05%
Shaftsbury,PAMALA SMITH,12345,12345,24715,14,26,49445,24.97%,24.97%,0.05%
Sharon,PAMALA SMITH,12345,12345,12363,17,23,37093,33.28%,33.28%,0.06%
Sharon,PAMALA SMITH,12345,12345,12363,17,23,37093,33.28%,33.28%,0.06%
Sheffield,PAMALA SMITH,12345,12345,22,10,18,24740,49.90%,49.90%,0.07%
Sheffield,PAMALA SMITH,12345,12345,22,10,18,24740,49.90%,49.90%,0.07%
Shelburne,PAMALA SMITH,24690,24690,49444,57,47,98928,24.96%,24.96%,0.05%
Shelburne,PAMALA SMITH,24690,24690,49444,57,47,98928,24.96%,24.96%,0.05%
Sheldon,PAMALA SMITH,12345,12345,12366,30,20,37106,33.27%,33.27%,0.05%
Sheldon,PAMALA SMITH,12345,12345,12366,30,20,37106,33.27%,33.27%,0.05%
Shoreham,PAMALA SMITH,12345,12345,19,10,25,24744,49.89%,49.89%,0.10%
Shoreham,PAMALA SMITH,12345,12345,19,10,25,24744,49.89%,49.89%,0.10%
Shrewsbury,PAMALA SMITH,12345,12345,21,16,17,24744,49.89%,49.89%,0.07%
Shrewsbury,PAMALA SMITH,12345,12345,21,16,17,24744,49.89%,49.89%,0.07%
South Burlington,PAMALA SMITH,49380,49380,98868,91,111,197830,24.96%,24.96%,0.06%
South Burlington,PAMALA SMITH,49380,49380,98868,91,111,197830,24.96%,24.96%,0.06%
South Hero,PAMALA SMITH,12345,12345,12366,24,20,37100,33.27%,33.27%,0.05%
South Hero,PAMALA SMITH,12345,12345,12366,24,20,37100,33.27%,33.27%,0.05%
Springfield,PAMALA SMITH,24690,24690,24733,58,39,74210,33.27%,33.27%,0.05%
Springfield,PAMALA SMITH,24690,24690,24733,58,39,74210,33.27%,33.27%,0.05%
Stamford,PAMALA SMITH,12345,12345,24,15,7,24736,49.91%,49.91%,0.03%
Stamford,PAMALA SMITH,12345,12345,24,15,7,24736,49.91%,49.91%,0.03%
Stannard,PAMALA SMITH,12345,12345,20,17,20,24747,49.88%,49.88%,0.08%
Stannard,PAMALA SMITH,12345,12345,20,17,20,24747,49.88%,49.88%,0.08%
Starksboro,PAMALA SMITH,12345,12345,26,13,11,24740,49.90%,49.90%,0.04%
Starksboro,PAMALA SMITH,12345,12345,26,13,11,24740,49.90%,49.90%,0.04%
Stockbridge,PAMALA SMITH,12345,12345,13,25,21,24749,49.88%,49.88%,0.08%
Stockbridge,PAMALA SMITH,12345,12345,13,25,21,24749,49.88%,49.88%,0.08%
Stowe,PAMALA SMITH,12345,12345,61753,41,50,86534,14.27%,14.27%,0.06%
Stowe,PAMALA SMITH,12345,12345,61753,41,50,86534,14.27%,14.27%,0.06%
Strafford,PAMALA SMITH,12345,12345,12368,15,12,37085,33.29%,33.29%,0.03%
Strafford,PAMALA SMITH,12345,12345,12368,15,12,37085,33.29%,33.29%,0.03%
Stratton,PAMALA SMITH,12345,12345,19,20,20,24749,49.88%,49.88%,0.08%
Stratton,PAMALA SMITH,12345,12345,19,20,20,24749,49.88%,49.88%,0.08%
Sudbury,PAMALA SMITH,12345,12345,31,16,26,24763,49.85%,49.85%,0.10%
Sudbury,PAMALA SMITH,12345,12345,31,16,26,24763,49.85%,49.85%,0.10%
Sunderland,PAMALA SMITH,24690,24690,39,30,41,49490,49.89%,49.89%,0.08%
Sunderland,PAMALA SMITH,24690,24690,39,30,41,49490,49.89%,49.89%,0.08%
Sutton,PAMALA SMITH,12345,12345,10,13,28,24741,49.90%,49.90%,0.11%
Sutton,PAMALA SMITH,12345,12345,10,13,28,24741,49.90%,49.90%,0.11%
Swanton,PAMALA SMITH,12345,12345,37055,45,39,61829,19.97%,19.97%,0.06%
Swanton,PAMALA SMITH,12345,12345,37055,45,39,61829,19.97%,19.97%,0.06%
Thetford,PAMALA SMITH,12345,12345,12362,33,14,37099,33.28%,33.28%,0.04%
Thetford,PAMALA SMITH,12345,12345,12362,33,14,37099,33.28%,33.28%,0.04%
Tinmouth,PAMALA SMITH,24690,24690,35,31,40,49486,49.89%,49.89%,0.08%
Tinmouth,PAMALA SMITH,24690,24690,35,31,40,49486,49.89%,49.89%,0.08%
Topsham,PAMALA SMITH,12345,12345,28,16,14,24748,49.88%,49.88%,0.06%
Topsham,PAMALA SMITH,12345,12345,28,16,14,24748,49.88%,49.88%,0.06%
Townshend,PAMALA SMITH,12345,12345,12370,20,16,37096,33.28%,33.28%,0.04%
Townshend,PAMALA SMITH,12345,12345,12370,20,16,37096,33.28%,33.28%,0.04%
Troy,PAMALA SMITH,24690,24690,40,32,36,49488,49.89%,49.89%,0.07%
Troy,PAMALA SMITH,24690,24690,40,32,36,49488,49.89%,49.89%,0.07%
Tunbridge,PAMALA SMITH,12345,12345,12368,22,17,37097,33.28%,33.28%,0.05%
Tunbridge,PAMALA SMITH,12345,12345,12368,22,17,37097,33.28%,33.28%,0.05%
Underhill,PAMALA SMITH,12345,12345,24713,39,34,49476,24.95%,24.95%,0.07%
Underhill,PAMALA SMITH,12345,12345,24713,39,34,49476,24.95%,24.95%,0.07%
Vergennes,PAMALA SMITH,12345,12345,12364,20,27,37101,33.27%,33.27%,0.07%
Vergennes,PAMALA SMITH,12345,12345,12364,20,27,37101,33.27%,33.27%,0.07%
Vernon,PAMALA SMITH,12345,12345,22,22,17,24751,49.88%,49.88%,0.07%
Vernon,PAMALA SMITH,12345,12345,22,22,17,24751,49.88%,49.88%,0.07%
Vershire,PAMALA SMITH,12345,12345,9,17,23,24739,49.90%,49.90%,0.09%
Vershire,PAMALA SMITH,12345,12345,9,17,23,24739,49.90%,49.90%,0.09%
Victory,PAMALA SMITH,12345,12345,26,20,10,24746,49.89%,49.89%,0.04%
Victory,PAMALA SMITH,12345,12345,26,20,10,24746,49.89%,49.89%,0.04%
Waitsfield,PAMALA SMITH,12345,12345,25,29,19,24763,49.85%,49.85%,0.08%
Waitsfield,PAMALA SMITH,12345,12345,25,29,19,24763,49.85%,49.85%,0.08%
Walden,PAMALA SMITH,12345,12345,12,11,14,24727,49.93%,49.93%,0.06%
Walden,PAMALA SMITH,12345,12345,12,11,14,24727,49.93%,49.93%,0.06%
Wallingford,PAMALA SMITH,12345,12345,11,21,10,24732,49.92%,49.92%,0.04%
Wallingford,PAMALA SMITH,12345,12345,11,21,10,24732,49.92%,49.92%,0.04%
Waltham,PAMALA SMITH,12345,12345,19,23,21,24753,49.87%,49.87%,0.08%
Waltham,PAMALA SMITH,12345,12345,19,23,21,24753,49.87%,49.87%,0.08%
Wardsboro,PAMALA SMITH,12345,12345,12367,16,19,37092,33.28%,33.28%,0.05%
Wardsboro,PAMALA SMITH,12345,12345,12367,16,19,37092,33.28%,33.28%,0.05%
Warren,PAMALA SMITH,12345,12345,24719,19,32,49460,24.96%,24.96%,0.06%
Warren,PAMALA SMITH,12345,12345,24719,19,32,49460,24.96%,24.96%,0.06%
Washington,PAMALA SMITH,12345,12345,20,21,22,24753,49.87%,49.87%,0.09%
Washington,PAMALA SMITH,12345,12345,20,21,22,24753,49.87%,49.87%,0.09%
Waterbury,PAMALA SMITH,12345,12345,24710,24,39,49463,24.96%,24.96%,0.08%
Waterbury,PAMALA SMITH,12345,12345,24710,24,39,49463,24.96%,24.96%,0.08%
Waterford,PAMALA SMITH,12345,12345,18,25,20,24753,49.87%,49.87%,0.08%
Waterford,PAMALA SMITH,12345,12345,18,25,20,24753,49.87%,49.87%,0.08%
Waterville,PAMALA SMITH,12345,12345,26,16,13,24745,49.89%,49.89%,0.05%
Waterville,PAMALA SMITH,12345,12345,26,16,13,24745,49.89%,49.89%,0.05%
Weathersfield,PAMALA SMITH,12345,12345,12366,25,25,37106,33.27%,33.27%,0.07%
Weathersfield,PAMALA SMITH,12345,12345,12366,25,25,37106,33.27%,33.27%,0.07%
Wells,PAMALA SMITH,12345,12345,14,24,22,24750,49.88%,49.88%,0.09%
Wells,PAMALA SMITH,12345,12345,14,24,22,24750,49.88%,49.88%,0.09%
West Fairlee,PAMALA SMITH,12345,12345,12,13,23,24738,49.90%,49.90%,0.09%
West Fairlee,PAMALA SMITH,12345,12345,12,13,23,24738,49.90%,49.90%,0.09%
West Haven,PAMALA SMITH,12345,12345,18,20,15,24743,49.89%,49.89%,0.06%
West Haven,PAMALA SMITH,12345,12345,18,20,15,24743,49.89%,49.89%,0.06%
West Rutland,PAMALA SMITH,12345,12345,12365,17,35,37107,33.27%,33.27%,0.09%
West Rutland,PAMALA SMITH,12345,12345,12365,17,35,37107,33.27%,33.27%,0.09%
West Windsor,PAMALA SMITH,12345,12345,12378,36,22,37126,33.25%,33.25%,0.06%
West Windsor,PAMALA SMITH,12345,12345,12378,36,22,37126,33.25%,33.25%,0.06%
Westfield,PAMALA SMITH,12345,12345,13,26,17,24746,49.89%,49.89%,0.07%
Westfield,PAMALA SMITH,12345,12345,13,26,17,24746,49.89%,49.89%,0.07%
Westford,PAMALA SMITH,12345,12345,10,15,23,24738,49.90%,49.90%,0.09%
Westford,PAMALA SMITH,12345,12345,10,15,23,24738,49.90%,49.90%,0.09%
Westminster,PAMALA SMITH,24690,24690,34,48,45,49507,49.87%,49.87%,0.09%
Westminster,PAMALA SMITH,24690,24690,34,48,45,49507,49.87%,49.87%,0.09%
Westmore,PAMALA SMITH,12345,12345,12363,11,17,37081,33.29%,33.29%,0.05%
Westmore,PAMALA SMITH,12345,12345,12363,11,17,37081,33.29%,33.29%,0.05%
Weston,PAMALA SMITH,12345,12345,10,24,18,24742,49.89%,49.89%,0.07%
Weston,PAMALA SMITH,12345,12345,10,24,18,24742,49.89%,49.89%,0.07%
Weybridge,PAMALA SMITH,12345,12345,29,31,13,24763,49.85%,49.85%,0.05%
Weybridge,PAMALA SMITH,12345,12345,29,31,13,24763,49.85%,49.85%,0.05%
Wheelock,PAMALA SMITH,12345,12345,17,17,18,24742,49.89%,49.89%,0.07%
Wheelock,PAMALA SMITH,12345,12345,17,17,18,24742,49.89%,49.89%,0.07%
Whiting,PAMALA SMITH,12345,12345,12369,17,24,37100,33.27%,33.27%,0.06%
Whiting,PAMALA SMITH,12345,12345,12369,17,24,37100,33.27%,33.27%,0.06%
Whitingham,PAMALA SMITH,24690,24690,43,23,52,49498,49.88%,49.88%,0.11%
Whitingham,PAMALA SMITH,24690,24690,43,23,52,49498,49.88%,49.88%,0.11%
Williamstown,PAMALA SMITH,12345,12345,49420,42,45,74197,16.64%,16.64%,0.06%
Williamstown,PAMALA SMITH,12345,12345,49420,42,45,74197,16.64%,16.64%,0.06%
Williston,PAMALA SMITH,12345,12345,49409,39,47,74185,16.64%,16.64%,0.06%
Williston,PAMALA SMITH,12345,12345,49409,39,47,74185,16.64%,16.64%,0.06%
Wilmington,PAMALA SMITH,12345,12345,24716,32,40,49478,24.95%,24.95%,0.08%
Wilmington,PAMALA SMITH,12345,12345,24716,32,40,49478,24.95%,24.95%,0.08%
Windham,PAMALA SMITH,12345,12345,10,13,16,24729,49.92%,49.92%,0.06%
Windham,PAMALA SMITH,12345,12345,10,13,16,24729,49.92%,49.92%,0.06%
Windsor,PAMALA SMITH,12345,12345,8,20,10,24728,49.92%,49.92%,0.04%
Windsor,PAMALA SMITH,12345,12345,8,20,10,24728,49.92%,49.92%,0.04%
Winhall,PAMALA SMITH,12345,12345,12380,22,23,37115,33.26%,33.26%,0.06%
Winhall,PAMALA SMITH,12345,12345,12380,22,23,37115,33.26%,33.26%,0.06%
Winooski,PAMALA SMITH,12345,12345,24717,21,40,49468,24.96%,24.96%,0.08%
Winooski,PAMALA SMITH,12345,12345,24717,21,40,49468,24.96%,24.96%,0.08%
Wolcott,PAMALA SMITH,12345,12345,21,25,22,24758,49.86%,49.86%,0.09%
Wolcott,PAMALA SMITH,12345,12345,21,25,22,24758,49.86%,49.86%,0.09%
Woodbury,PAMALA SMITH,12345,12345,20,7,12,24729,49.92%,49.92%,0.05%
Woodbury,PAMALA SMITH,12345,12345,20,7,12,24729,49.92%,49.92%,0.05%
Woodford,PAMALA SMITH,12345,12345,12381,16,24,37111,33.27%,33.27%,0.06%
Woodford,PAMALA SMITH,12345,12345,12381,16,24,37111,33.27%,33.27%,0.06%
Woodstock,PAMALA SMITH,12345,12345,24720,28,31,49469,24.96%,24.96%,0.06%
Woodstock,PAMALA SMITH,12345,12345,24720,28,31,49469,24.96%,24.96%,0.06%
Worcester,PAMALA SMITH,12345,12345,13,17,22,24742,49.89%,49.89%,0.09%
Worcester,PAMALA SMITH,12345,12345,13,17,22,24742,49.89%,49.89%,0.09%
